City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Alamos,MX,2022-08-28 16:36:53,27.0167,-108.9333,85.73,59,47,3.33
187,Talcahuano,CL,2022-08-28 16:36:53,-36.7167,-73.1167,60.48,41,0,12.66
188,Manjacaze,MZ,2022-08-28 16:36:54,-24.7117,33.8828,70.32,71,1,6.29
189,Portree,GB,2022-08-28 16:36:54,57.4129,-6.1942,64.53,85,93,3.58
190,Abalak,RU,2022-08-28 16:36:54,58.1286,68.5944,57.27,82,7,6.13
191,Mana,GF,2022-08-28 16:36:54,5.6592,-53.7767,87.57,60,48,8.39
192,Huarmey,PE,2022-08-28 16:36:55,-10.0681,-78.1522,67.68,70,29,11.3
193,Saldanha,ZA,2022-08-28 16:36:55,-33.0117,17.9442,57.25,60,20,9.89
194,Grindavik,IS,2022-08-28 16:36:55,63.8424,-22.4338,55.35,100,75,19.57
195,Mozarlandia,BR,2022-08-28 16:36:55,-14.7447,-50.5706,98.64,14,1,5.82
196,Rutana,BI,2022-08-28 16:36:56,-3.8667,30.1,68.9,45,100,1.61
197,Gafanha Da Encarnacao,PT,2022-08-28 16:36:56,40.6181,-8.733,72.01,73,38,7.0
198,Scarborough,GB,2022-08-28 16:36:56,54.2797,-0.4044,67.57,76,91,4.0
199,Marzuq,YE,2022-08-28 16:36:56,14.4,46.4667,84.09,42,43,7.65
200,Marondera,ZW,2022-08-28 16:36:57,-18.1853,31.5519,60.37,37,2,5.91
201,Kondinskoye,RU,2022-08-28 16:36:57,59.6481,67.41,60.71,66,0,9.33
202,Milkovo,RU,2022-08-28 16:36:57,54.7167,158.6167,58.77,95,98,1.72
203,San Miguel,SV,2022-08-28 16:36:57,13.4833,-88.1833,83.86,88,20,4.61
204,Labrea,BR,2022-08-28 16:36:58,-7.2586,-64.7981,87.15,51,100,1.3
205,Palmer,US,2022-08-28 16:36:58,42.1584,-72.3287,79.27,66,75,1.99
206,Clyde River,CA,2022-08-28 16:35:53,70.4692,-68.5914,37.63,100,100,6.91
207,Buala,SB,2022-08-28 16:36:58,-8.145,159.5921,78.53,84,28,9.17
208,Urengoy,RU,2022-08-28 16:36:58,65.9667,78.3667,39.69,72,100,13.44
209,Itaqui,BR,2022-08-28 16:33:40,-29.1253,-56.5531,57.2,47,69,17.31
210,Souillac,MU,2022-08-28 16:32:44,-20.5167,57.5167,71.98,88,75,9.22
211,Prainha,BR,2022-08-28 16:36:59,-1.8,-53.48,94.06,39,91,4.61
212,Vikhorevka,RU,2022-08-28 16:36:59,56.1201,101.1636,42.39,91,85,11.14
213,Lodja,CD,2022-08-28 16:36:59,-3.4833,23.4333,73.38,87,95,2.04
214,Kristiansund,NO,2022-08-28 16:37:00,63.1115,7.732,57.25,71,75,5.75
215,New Bern,US,2022-08-28 16:35:59,35.1085,-77.0441,87.03,74,40,9.22
216,Baker City,US,2022-08-28 16:32:48,44.7749,-117.8344,60.6,54,0,3.44
217,Rozivka,UA,2022-08-28 16:37:00,46.9385,35.7724,78.75,59,3,6.78
218,Makasar,ID,2022-08-28 16:37:00,-5.14,119.4221,75.25,88,20,2.3
219,Vila Velha,BR,2022-08-28 16:33:54,-20.3297,-40.2925,84.15,69,0,16.11
220,Katsuura,JP,2022-08-28 16:37:00,35.1333,140.3,73.53,81,100,18.07
